"","college_name","aid"
"480","McPherson College",12825
"481","Memphis College of Art",15283
"482","Menlo College",16297
"483","Mercer University",23472
"484","Mercyhurst University",15444
"485","Merrimack College",12906
"486","Messiah College",21737
"487","Methodist University",34546
"488","Miami University",7399
"489","Michigan State University",13696
"490","Michigan Technological University",7678
"491","MidAmerica Nazarene University",19081
"492","Middle Tennessee State University",16308
"493","Middlebury College",50530
"494","Midland University",13600
"495","Midwestern State University",2043
"496","Millennia Atlantic University",1890
"497","Millersville University of Pennsylvania",9728
"498","Milligan College",22699
"499","Millikin University",17155
"500","Mills College",15415
"501","Millsaps College",26155
"502","Milwaukee Institute of Art and Design",7792
"503","Milwaukee School of Engineering",11257
"504","Minneapolis College of Art and Design",11017
"505","Minnesota State University Mankato",7562
"506","Minnesota State University Moorhead",6898
"507","Minot State University",2981
"508","Mississippi College",3022
"509","Mississippi University for Women",9550
"510","Missouri Baptist University",16182
"511","Missouri Southern State University",3091
"512","Missouri State University",9751
"513","Missouri University of Science and Technology",5044
"514","Missouri Valley College",13950
"515","Missouri Western State University",4081
"516","Molloy College",15605
"517","Monmouth College",26987
"518","Monmouth University",24613
"519","Montana State University",4038
"520","Montana State University Billings",2431
"521","Montana State University-Northern",1594
"522","Montreat College",20512
"523","Moravian College",16217
"524","Morehead State University",14802
"525","Morehouse College",31416
"526","Morgan State University",10720
"527","Morningside College",17867
"528","Morrisville State College",667
"529","Mount Holyoke College",32785
"530","Mount Ida College",2761
"531","Mount Mercy University",16552
"532","Mount Saint Mary College",3000
"533","Mount Saint Mary's University",13794
"534","Mount St. Joseph University",24314
"535","Mount St. Mary's University",26206
"536","Mount Vernon Nazarene University",17100
"537","Muhlenberg College",38150
"538","Multnomah University",3030
"539","Murray State University",11197
"540","Muskingum University",11160
"541","Naropa University",11396
"542","Nazarene Bible College",500
"543","Nazareth College of Rochester",12064
"544","Nebraska Wesleyan University",17156
"545","New College of Florida",19609
"546","New England College",15585
"547","New England Conservatory of Music",17467
"548","New Jersey Institute of Technology",25672
"549","New Mexico Institute of Mining and Technology",13360
"550","New Mexico State University",14621
"551","New Orleans Baptist Theological Seminary",400
"552","New York School of Interior Design",6666
"553","New York University",29508
"554","Newberry College",27506
"555","Newman University",17498
"556","Niagara University",11695
"557","Nicholls State University",12642
"558","North Carolina Central University",21561
"559","North Carolina State University",10778
"560","North Carolina Wesleyan College",4000
"561","North Central College",23082
"562","Northeastern Illinois University",1000
"563","Northeastern State University",10022
"564","Northeastern University",18740
"565","Northern Illinois University",13922
"566","Northern Kentucky University",2115
"567","Northern Michigan University",2494
"568","Northern State University",1412
"569","Northland College",24811
"570","Northwest Christian University",10125
"571","Northwest Missouri State University",8498
"572","Northwest Nazarene University",16539
"573","Northwest University",8764
"574","Northwestern College",16941
"575","Northwestern State University of Louisiana",305
"576","Northwestern University",42259
"577","Northwood University, Michigan Campus",7033
"578","Norwich University",22407
"579","Notre Dame de Namur University",17674
"580","Notre Dame of Maryland University",17570
"581","Nova Southeastern University",6414
"582","Nyack College",3095
"583","Oakland City University",6000
"584","Oakland University",11044
"585","Oberlin College",31132
"586","Occidental College",40525
"587","Ohio Christian University",6000
"588","Ohio Dominican University",2000
"589","Ohio Valley University",7588
"590","Ohio Wesleyan University",22333
"591","Oklahoma Baptist University",15319
"592","Oklahoma Christian University",10020
"593","Oklahoma City University",24600
"594","Oklahoma State University",5289
"595","Oklahoma Wesleyan University",18723
"596","Olivet College",9637
"597","Olivet Nazarene University",28177
"598","Oral Roberts University",9706
"599","Oregon Institute of Technology",3531
"600","Oregon State University",5669
"601","Otis College of Art and Design",10577
"602","Otterbein University",10447
"603","Ouachita Baptist University",18841
"604","Our Lady of the Lake University of San Antonio",16484
"605","Pace University",14749
"606","Pacific Lutheran University",12242
"607","Pacific Northwest College of Art",8005
"608","Pacific Union College",10132
"609","Pacific University",18231
"610","Paier College of Art, Inc.",5000
"611","Palm Beach Atlantic University",11813
"612","Paris College of Art",8600
"613","Park University",7874
"614","Parsons The New School for Design",7288
"615","Paul Quinn College",4080
"616","Paul Smith's College",9000
"617","Peabody Conservatory of The Johns Hopkins University",20692
"618","Pepperdine University",23000
"619","Pfeiffer University",3500
"620","Philadelphia University",11087
"621","Philander Smith College",13472
"622","Piedmont College",16331
"623","Piedmont International University",2500
"624","Pitzer College",62164
"625","Plymouth State University",2115
"626","Point Park University",16100
"627","Pomona College",45738
"628","Pontifical Catholic University of Puerto Rico",11380
"629","Portland State University",5974
"630","Post University",15524
"631","Pratt Institute",8638
"632","Prescott College",5600
"633","Presentation College",9669
"634","Princeton University",44466
"635","Principia College",31931
"636","Providence College",47150
"637","Purchase College, State University of New York",2949
"638","Purdue University",2097
"639","Purdue University Calumet",6933
"640","Queen's University at Kingston",3568
"641","Queens University of Charlotte",19123
"642","Quincy University",13700
"643","Quinnipiac University",34439
"644","Radford University",6515
"645","Ramapo College of New Jersey",1993
"646","Randolph College",24330
"647","Redeemer University College",4211
"648","Reed College",50705
"649","Regent University",9664
"650","Regis College",14694
"651","Regis University",16725
"652","Reinhardt University",15012
"653","Rhodes College",20369
"654","Rice University",25782
"655","Rider University",22664
"656","Ringling College of Art and Design",28323
"657","Ripon College",19978
"658","Rivier University",7000
"659","Roanoke College",26374
"660","Robert Morris University",23766
"661","Robert Morris University Illinois",12504
"662","Roberts Wesleyan College",19406
"663","Rochester College",5639
"664","Rochester Institute of Technology",13000
"665","Rockford University",13824
"666","Rockhurst University",26891
"667","Rocky Mountain College",20270
"668","Rocky Mountain College of Art + Design",2976
"669","Roger Williams University",12732
"670","Rogers State University",15237
"671","Rollins College",25562
"672","Rose-Hulman Institute of Technology",4977
"673","Rosemont College",9800
"674","Rust College",2705
"675","Rutgers, The State University of New Jersey, New Brunswick",7175
"676","Rutgers, The State University of New Jersey, Newark",7000
"677","Sacred Heart University",31088
"678","Saint Anselm College",43765
"679","Saint Francis Medical Center College of Nursing",2794
"680","Saint Francis University",25853
"681","Saint John's University",18330
"682","Saint Joseph's College",30633
"683","Saint Leo University",12814
"684","Saint Louis University",20626
"685","Saint Martin's University",4500
"686","Saint Mary's College",24524
"687","Saint Mary's College of California",36353
"688","Saint Mary's University of Minnesota",15909
"689","Saint Michael's College",14924
"690","Saint Peter's University",29571
"691","Saint Vincent College",4491
"692","Salem International University",7376
"693","Salisbury University",3094
"694","Salve Regina University",18032
"695","Sam Houston State University",10508
"696","Samford University",21015
"697","San Diego Christian College",25556
"698","San Diego State University",12
"699","San Francisco Conservatory of Music",20092
"700","San Jose State University",8571
"701","Santa Clara University",35099
"702","Santa Fe University of Art and Design",11541
"703","Sarah Lawrence College",34939
"704","Savannah College of Art and Design",3814
"705","School of the Art Institute of Chicago",4442
"706","School of the Museum of Fine Arts, Boston",11405
"707","School of Visual Arts",9764
"708","Scripps College",31043
"709","Seattle Pacific University",13154
"710","Seattle University",16195
"711","Seton Hall University",14279
