"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"677","Penn State Greater Allegheny","18","25","930","1190"
"678","Penn State Harrisburg","22","27","1010","1280"
"679","Penn State Hazleton","20","28","960","1220"
"680","Penn State Lehigh Valley","22","28","980","1250"
"681","Penn State Main Campus","25","29","1160","1360"
"682","Penn State Mont Alto","20","26","930","1170"
"683","Penn State New Kensington","18","25","1010","1200"
"684","Penn State Schuylkill","15","24","900","1130"
"685","Penn State Shenango","19","29","920","1120"
"686","Penn State Wilkes Barre","18","20","980","1160"
"687","Penn State Worthington Scranton","15","23","920","1140"
"688","Penn State York","17","25","1000","1280"
"689","Pepperdine University","26","31","1180","1390"
"690","Pfeiffer University","17","22","890","1100"
"691","Philadelphia Biblical University Langhorne","20","24","970","1230"
"692","Philadelphia University","20","26","1040","1200"
"693","Piedmont College","19","24","940","1160"
"694","Piedmont International University","15","23","770","1230"
"695","Point Loma Nazarene University","23","28","1110","1310"
"696","Point Park University","19","26","970","1180"
"697","Point University","17","22","890","1090"
"698","Polytechnic Institute of New York University","28","32","1250","1440"
"699","Pomona College","31","34","1400","1560"
"700","Portland State University","19","25","1010","1230"
"701","Post University","15","23","860","1080"
"702","Prairie View A & M University","15","19","840","1020"
"703","Pratt Institute Main","24","30","1120","1350"
"704","Presbyterian College","21","28","1080","1280"
"705","Prescott College","21","28","1000","1270"
"706","Presentation College","18","22","900","1100"
"707","Princeton University","32","35","1450","1590"
"708","Providence College","23","28","1110","1310"
"709","Purdue University Calumet Campus","18","24","940","1140"
"710","Purdue University Main Campus","25","31","1140","1380"
"711","Purdue University North Central Campus","19","23","950","1130"
"712","Queens University of Charlotte","21","26","1020","1210"
"713","Quincy University","18","24","990","1230"
"714","Quinnipiac University","22","27","1060","1260"
"715","Ramapo College of New Jersey","21","26","1050","1260"
"716","Randolph College","20","26","980","1220"
"717","Randolph Macon College","22","26","1050","1260"
"718","Reed College","29","33","1340","1510"
"719","Regent University","19","25","1000","1220"
"720","Regis University","22","26","1030","1240"
"721","Reinhardt University","18","23","930","1140"
"722","Rensselaer Polytechnic Institute","28","32","1340","1510"
"723","Rhode Island College","16","20","870","1100"
"724","Rhode Island School of Design","24","30","1150","1400"
"725","Rhodes College","27","31","1240","1420"
"726","Rice University","32","35","1460","1580"
"727","Rider University","19","24","1000","1180"
"728","Ripon College","21","26","940","1230"
"729","Roanoke College","21","27","1050","1270"
"730","Robert Morris University","21","26","1020","1210"
