"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"136","Hampden-Sydney College",96,NA,96,NA,29537,"/best-colleges/hampden-sydney-3713",NA,NA,NA,NA
"137","Southwestern University",96,NA,96,NA,20369,"/best-colleges/southwestern-university-3620","23","28","1130","1340"
"138","St. Mary's College of Maryland",96,NA,96,NA,7522,"/best-colleges/st-marys-college-2095",NA,NA,NA,NA
"139","Washington College",96,NA,96,NA,17833,"/best-colleges/washington-college-maryland-2108",NA,NA,NA,NA
"140","Rochester Institute of Technology",97,97,NA,NA,13000,"/best-colleges/rit-2806","26","31","1210","1390"
"141","University of Oklahoma",97,97,NA,NA,3132,"/best-colleges/university-of-oklahoma-3184",NA,NA,NA,NA
"142","University of Vermont",97,97,NA,NA,18075,"/best-colleges/university-of-vermont-3696","25","30","1170","1360"
"143","Augustana College",101,NA,101,NA,37958,"/best-colleges/augustana-college-1633","23","29","1010","1300"
"144","New College of Florida",101,NA,101,NA,19609,"/best-colleges/new-college-of-florida-153704","26","31","1210","1410"
"145","Ohio Wesleyan University",101,NA,101,149,22333,"/best-colleges/ohio-wesleyan-3109",NA,NA,NA,NA
"146","Illinois Institute of Technology",103,103,NA,592,20233,"/best-colleges/iit-1691","26","31","1200","1420"
"147","Loyola University Chicago",103,103,NA,NA,13102,"/best-colleges/loyola-chicago-1710","24","29","1110","1320"
"148","University of New Hampshire",103,103,NA,NA,28769,"/best-colleges/university-of-new-hampshire-2589",NA,NA,NA,NA
"149","University of Oregon",103,103,NA,NA,8143,"/best-colleges/university-of-oregon-3223","22","27","1060","1290"
"150","University of South Carolina",103,103,NA,NA,7250,"/best-colleges/university-of-south-carolina-3448",NA,NA,NA,NA
"151","Hope College",106,NA,106,NA,14154,"/best-colleges/hope-college-2273","23","29","1080","1330"
"152","Juniata College",106,NA,106,NA,17298,"/best-colleges/juniata-college-3279",NA,NA,NA,NA
"153","Howard University",110,110,NA,NA,23954,"/best-colleges/howard-university-1448","22","28","1120","1310"
"154","University of San Francisco",110,110,NA,NA,29566,"/best-colleges/university-san-francisco-1325","23","28","1110","1310"
"155","University of Utah",110,110,NA,NA,5311,"/best-colleges/university-of-utah-3675","21","27","1130","1360"
"156","Drew University",112,NA,112,NA,15017,"/best-colleges/drew-university-2603",NA,NA,NA,NA
