ID,college_name,combined_rank,national_rank,liberal_rank,students,aid,usnews_link,bigfuture_link,college_website,Total_Amount_Awarded,Engineering
144,Ohio Wesleyan University,101,NA,101,149,22333,/best-colleges/ohio-wesleyan-3109,,,,NA
145,Illinois Institute of Technology,103,103,NA,592,20233,/best-colleges/iit-1691,,,,NA
146,Loyola University Chicago,103,103,NA,NA,13102,/best-colleges/loyola-chicago-1710,,,,NA
147,University of New Hampshire,103,103,NA,NA,28769,/best-colleges/university-of-new-hampshire-2589,,,,NA
148,University of Oregon,103,103,NA,NA,8143,/best-colleges/university-of-oregon-3223,,,,NA
149,University of South Carolina,103,103,NA,NA,7250,/best-colleges/university-of-south-carolina-3448,,,,NA
150,Hope College,106,NA,106,NA,14154,/best-colleges/hope-college-2273,,,,NA
151,Juniata College,106,NA,106,NA,17298,/best-colleges/juniata-college-3279,,,,NA
152,Howard University,110,110,NA,NA,23954,/best-colleges/howard-university-1448,,,,NA
153,University of San Francisco,110,110,NA,NA,29566,/best-colleges/university-san-francisco-1325,,,,NA
154,University of Utah,110,110,NA,NA,5311,/best-colleges/university-of-utah-3675,,,,NA
155,Drew University,112,NA,112,NA,15017,/best-colleges/drew-university-2603,,,,NA
156,Goucher College,112,NA,112,NA,26444,/best-colleges/goucher-college-2073,,,,NA
157,Hanover College,112,NA,112,NA,22632,/best-colleges/hanover-college-1801,,,,NA
158,Hollins University,112,NA,112,NA,32388,/best-colleges/hollins-university-3715,,,,NA
159,Principia College,112,NA,112,NA,31931,/best-colleges/principia-college-1744,,,,NA
160,Temple University,115,115,NA,NA,5621,/best-colleges/temple-university-3371,,,,NA
161,University of St. Thomas,115,115,NA,NA,37529,/best-colleges/university-of-st-thomas-minnesota-2345,,,,NA
162,Elizabethtown College,117,NA,117,NA,24500,/best-colleges/elizabethtown-college-3262,,,,NA
163,Linfield College,117,NA,117,NA,22502,/best-colleges/linfield-college-3198,,,,NA
