college_name,college_website,bigfuture_link,students,total_amount_awarded,college_finaid_link,engineering,generosity_index
Brown University,www.brown.edu,https://bigfuture.collegeboard.org/college-university-search/brown-university,207,NA,https://www.brown.edu/campus-life/support/international-students/prospective-students/financial-aid/financial-aid,https://www.brown.edu/academics/engineering/undergraduate-study/concentrations,2
Cornell University,www.cornell.edu,https://bigfuture.collegeboard.org/college-university-search/cornell-university,189,"$11,221,657 ",http://finaid.cornell.edu/apply-aid/prospective-applicants/prospective-international-applicants,http://www.cornell.edu/academics/fields.cfm,2
Rice University,www.rice.edu,https://bigfuture.collegeboard.org/college-university-search/rice-university,113,"$3,758,455 ",https://financialaid.rice.edu/undergraduates/group/applying-aid/international-students,http://www.rice.edu/majors-programs.shtml,1
Vanderbilt University,www.vanderbilt.edu,https://bigfuture.collegeboard.org/college-university-search/vanderbilt-university,140,"$7,600,818 ",https://www.vanderbilt.edu/financialaid/undergraduate/international.php,https://www.vanderbilt.edu/academics/disciplines/disc/Engineering,1
Grinnell College,www.grinnell.edu,https://bigfuture.collegeboard.org/college-university-search/grinnell-college,207,"$7,733,905 ",https://www.grinnell.edu/financial-aid/intl-student-aid,joint degrees,3
Hamilton College,www.hamilton.edu,https://bigfuture.collegeboard.org/college-university-search/hamilton-college,62,"$3,249,473 ",https://www.hamilton.edu/admission/finaid/international,joint degrees,2
Haverford College,www.haverford.edu,https://bigfuture.collegeboard.org/college-university-search/haverford-college,25,"$1,537,662 ",https://www.haverford.edu/financial-aid/applying-financial-aid/international-applicants,joint degrees,2
University of Notre Dame,www.nd.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-notre-dame,231,"$11,138,918 ",https://financialaid.nd.edu/prospective-students/applying/international-students/,https://www.nd.edu/academics/undergraduate-majors/,4
Washington University in St. Louis,www.wustl.edu,https://bigfuture.collegeboard.org/college-university-search/washington-university-in-st-louis,NA,NA,https://admissions.wustl.edu/Financial_Aid_Scholarships/Need_Based_Financial_Aid/Pages/International-First-Year-Students.aspx,https://admissions.wustl.edu/majors-academics#engineering,1
Georgetown University,www.georgetown.edu,https://bigfuture.collegeboard.org/college-university-search/georgetown-university,NA,NA,https://www.georgetown.edu/admissions/for-international-students,joint degrees,3
Emory University,www.emory.edu,https://bigfuture.collegeboard.org/college-university-search/emory-university,NA,NA,http://apply.emory.edu/apply/international.php,general engineering,2
University of Southern California,www.usc.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-southern-california,448,"$8,687,611 ",NO FLAG,NA,4
Wesleyan University,www.wesleyan.edu,https://bigfuture.collegeboard.org/college-university-search/wesleyan-university,98,"$6,031,843 ",http://www.wesleyan.edu/admission/informationfor/international.html,general engineering,2
Bates College,www.bates.edu,https://bigfuture.collegeboard.org/college-university-search/bates-college,73,"$4,092,499 ",https://www.bates.edu/financial-services/financial-aid/international-undergraduates/,joint degrees,2
Colorado College,www.coloradocollege.edu,https://bigfuture.collegeboard.org/college-university-search/colorado-college,101,"$4,633,340 ",https://www.coloradocollege.edu/admission/financialaid/,joint degrees,3
University of Richmond,www.richmond.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-richmond,136,"$6,310,182 ",https://financialaid.richmond.edu/prospective/international.html,joint degrees,2
